Laptop ID;Brand;Segment;Model;Price;CPU Brand;CPU Type;CPU Speed;HD Size;HD Type;RAM size;Graphic Card;Webcam;Cache Size;DVD;Wireless;LCD Inches;Bluetooth;OS;Weight
1;Acer;Easy Note;ENTE11BZ-11206G75MNKS;396.00;AMD;AMD E1 1200;1.4;750;HDD;6;Intel Integrated;Yes;2;Yes;Yes;15.6;Yes;Windows 8;3.0
2;Acer;Slim;Slim V5-431P-987B6G50Mass;485.00;Intel;Intel Pentium 987;1.5;500;HDD;6;Intel Integrated;Yes;3;Yes;Yes;14.0;Yes;Windows 8;2.1
3;Acer;Slim;Slim Multi-Touch V5-571P-33224G75Mass;582;Intel;Intel Core i3-3227U;1.9;750;HDD;4;Intel Integrated;Yes;3;Yes;Yes;15.6;Yes;Windows 8;2.1
4;Acer;Slim;Slim Multi-Touch V5-571PG-53334G50Mass;664;Intel;Intel Core i5-3337U;1.8;500;HDD;6;NVIDIA GeForce 710M 1GB;Yes;3;Yes;Yes;15.6;Yes;Windows 8;2.1
5;Acer;Travelmate;P253E;374;Intel;Celeron 1000M;1.8;320;HDD;4;Intel HD Graphics;Yes;2;Yes;Yes;15.6;Yes;Windows 8;2.7
6;Acer;Travelmate;B113M;386;Intel;Celeron Mobile 1007;1.5;320;HDD;4;Intel Integrated;Yes;2;Yes;Yes;11.6;Yes;Windows 8;1.3
7;Acer;Travelmate;P253M;458;Intel;Intel Core i3-2348M;2.3;500;HDD;4;Intel HD Graphics;Yes;3;Yes;Yes;15.6;Yes;Windows 8;2.6
8;Acer;Travelmate;P253M;584;Intel;Intel Core i3-3120M;2.5;500;HDD;4;Intel HD Graphics;Yes;3;Yes;Yes;15.6;Yes;Windows 8;2.6
9;Acer;Travelmate;P253M;639;Intel;Intel Core i5-3230M;2.6;500;HDD;4;Intel HD Graphics;Yes;3;Yes;Yes;15.6;Yes;Windows 8;2.6
10;Acer;Travelmate;P253MG;676;Intel;Intel Core i3-3120M;2.5;500;HDD;4;NVIDIA GeForce 710M 2GB;Yes;3;Yes;Yes;15.6;Yes;Windows 8;2.6
11;Apple;MacBook Air;MD223PO/A;1061;Intel;Intel Core i5-3317U;1.7;64;SSD;4;Intel HD Graphics 5000;Yes;8;No;Yes;11.0;Yes;Mac OS X Mavericks;1.05
12;Apple;MacBook Air;MD224PO/A;1163;Intel;Intel Core i5-3317U;1.7;128;SSD;4;Intel HD Graphics 5000;Yes;8;No;Yes;11.0;Yes;Mac OS X Mavericks;1.05
